epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5684,0.99522,3.02415,0.96718,0.37945,0.77778,0.54063,0.38072,0.97637,1.6641,1.01942,0.00045009,0.00045009,0.00045009
2,59.1865,0.98071,1.43781,0.99328,0.00015,0.08333,3e-05,1e-05,nan,nan,nan,0.000907773,0.000907773,0.000907773
3,76.9315,1.03907,1.08362,1.05822,0,0,0,0,nan,nan,nan,0.00135621,0.00135621,0.00135621
4,95.2603,0.98934,0.93705,1.04189,0,0,0,0,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,113.48,0.93667,0.81951,1.01858,0.30811,0.08889,0.03862,0.03017,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,131.527,0.90169,0.69748,0.99355,0.88185,0.80334,0.872,0.67744,0.82991,3.14031,1.16825,0.00158448,0.00158448,0.00158448
7,156.339,0.91951,0.71047,1.01088,0.97298,0.48669,0.49523,0.41341,1.1521,2.86839,1.43638,0.00156798,0.00156798,0.00156798
8,174.223,0.87946,0.69811,0.97934,0.8945,1,0.995,0.76624,0.86876,0.89634,1.01868,0.00155148,0.00155148,0.00155148
9,192.62,0.88467,0.6472,0.9881,0.95394,0.96667,0.99313,0.79627,0.77355,0.75667,1.01593,0.00153497,0.00153497,0.00153497
10,211.53,0.85008,0.58581,0.99743,0.78292,0.8,0.85861,0.65641,0.80023,0.68276,1.00154,0.00151847,0.00151847,0.00151847
11,231.522,0.83489,0.63675,0.97093,0.96608,1,0.995,0.81744,0.72634,0.54947,0.96689,0.00150197,0.00150197,0.00150197
12,252.623,0.80595,0.62645,0.97445,0.97907,0.99961,0.995,0.81608,0.76813,0.88356,0.96658,0.00148546,0.00148546,0.00148546
13,270.691,0.79728,0.57668,0.96522,0.97919,1,0.995,0.81993,0.73285,0.49251,0.94685,0.00146896,0.00146896,0.00146896
14,292.173,0.78106,0.57069,0.94896,0.98692,1,0.995,0.82168,0.71841,0.45705,0.93851,0.00145246,0.00145246,0.00145246
15,311.889,0.7918,0.53572,0.94984,0.99267,1,0.995,0.81748,0.7315,0.45562,0.93853,0.00143595,0.00143595,0.00143595
16,330.264,0.76408,0.53411,0.95302,0.96089,1,0.995,0.82603,0.62863,0.45952,0.89955,0.00141945,0.00141945,0.00141945
17,351.361,0.7566,0.50591,0.93863,0.9945,1,0.995,0.82228,0.69414,0.46199,0.92205,0.00140295,0.00140295,0.00140295
18,370.296,0.75908,0.50316,0.93182,0.93114,0.98936,0.98469,0.83441,0.66226,0.80799,0.91088,0.00138644,0.00138644,0.00138644
19,389.155,0.7422,0.53994,0.93907,0.96396,1,0.995,0.84068,0.6478,0.40253,0.89346,0.00136994,0.00136994,0.00136994
